"time","R0.i","R0.v","R1.i","R1.v"
0.456,0.0004975124378106557,0.4975124378106557,0.0004975124378109468,49.75124378109468
0.457,0.0004975124378106557,0.4975124378106557,0.0004975124378109468,49.75124378109468
0.458,0.0004975124378106699,0.4975124378106699,0.0004975124378109467,49.75124378109467
0.459,0.0004975124378106699,0.4975124378106699,0.0004975124378109467,49.75124378109467
0.46,0.0004975124378106699,0.4975124378106699,0.0004975124378109467,49.75124378109467
0.461,0.0004975124378106841,0.4975124378106841,0.0004975124378109467,49.75124378109467
0.462,0.0004975124378106841,0.4975124378106841,0.0004975124378109467,49.75124378109467
0.463,0.0004975124378106841,0.4975124378106841,0.0004975124378109467,49.75124378109467
0.464,0.0004975124378106841,0.4975124378106841,0.0004975124378109467,49.75124378109467
0.465,0.0004975124378106984,0.4975124378106983,0.0004975124378109465,49.75124378109465
0.466,0.0004975124378106984,0.4975124378106983,0.0004975124378109465,49.75124378109465
0.467,0.0004975124378106984,0.4975124378106983,0.0004975124378109465,49.75124378109465
0.468,0.0004975124378107126,0.4975124378107125,0.0004975124378109464,49.75124378109464
0.469,0.0004975124378107126,0.4975124378107125,0.0004975124378109464,49.75124378109464
0.47,0.0004975124378107126,0.4975124378107125,0.0004975124378109464,49.75124378109464
0.471,0.0004975124378107268,0.4975124378107267,0.0004975124378109464,49.75124378109464
0.472,0.0004975124378107268,0.4975124378107267,0.0004975124378109464,49.75124378109464
0.473,0.0004975124378107268,0.4975124378107267,0.0004975124378109464,49.75124378109464
0.474,0.0004975124378107268,0.4975124378107267,0.0004975124378109464,49.75124378109464
0.475,0.000497512437810741,0.4975124378107409,0.0004975124378109463,49.75124378109463
0.476,0.000497512437810741,0.4975124378107409,0.0004975124378109463,49.75124378109463
0.477,0.000497512437810741,0.4975124378107409,0.0004975124378109463,49.75124378109463
0.478,0.0004975124378107552,0.4975124378107552,0.0004975124378109462,49.75124378109462
0.479,0.0004975124378107552,0.4975124378107552,0.0004975124378109462,49.75124378109462
0.48,0.0004975124378107552,0.4975124378107552,0.0004975124378109462,49.75124378109462
0.481,0.0004975124378107694,0.4975124378107694,0.0004975124378109462,49.75124378109462
0.482,0.0004975124378107694,0.4975124378107694,0.0004975124378109462,49.75124378109462
0.483,0.0004975124378107694,0.4975124378107694,0.0004975124378109462,49.75124378109462
0.484,0.0004975124378107836,0.4975124378107836,0.0004975124378109461,49.75124378109461
0.485,0.0004975124378107836,0.4975124378107836,0.0004975124378109461,49.75124378109461
0.486,0.0004975124378107836,0.4975124378107836,0.0004975124378109461,49.75124378109461
0.487,0.0004975124378107836,0.4975124378107836,0.0004975124378109461,49.75124378109461
0.488,0.0004975124378107978,0.4975124378107978,0.000497512437810946,49.7512437810946
0.489,0.0004975124378107978,0.4975124378107978,0.000497512437810946,49.7512437810946
0.49,0.0004975124378107978,0.4975124378107978,0.000497512437810946,49.7512437810946
